,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,9664,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19117125.0,19117125.0,,1,,,,2022-08-10T00:02:00.000Z,23153.670523207522,23527127990.972687,-17.6364,-0.13012956,-2.79587895,0.67460313,11.07819625,-20.39899362,-20.30474349,442631613600.9736,40.4149,486227080987.36,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
1,1027,Ethereum,ETH,ethereum,5937,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121898991.874,121898991.874,,2,,,,2022-08-10T00:02:00.000Z,1702.049689053161,16334418030.883766,-2.7323,-0.12774518,-4.21931131,4.19608532,45.75989036,2.22297063,-18.21287082,207478141215.0355,18.9425,207478141215.04,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
2,825,Tether,USDT,tether,37693,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66476525453.89259,69158976388.31891,,3,,,,2022-08-10T00:02:00.000Z,1.0001931217776017,46008173498.51532,-8.4528,0.0001652,0.00388396,0.00335608,0.0712147,0.09955025,0.43416598,66489363518.65703,6.0709,69172332492.78,,2022-08-10T00:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-10 00:04:51.089024+00:00
3,3408,USD Coin,USDC,usd-coin,5250,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,54085287412.207436,54085287412.207436,,4,,,,2022-08-10T00:02:00.000Z,0.9997505813221959,6730947676.484035,-3.3492,-0.01840244,-0.01509719,-0.02793505,-0.02631042,-0.03418965,-0.14868727,54071797531.33243,4.938,54071797531.33,,2022-08-10T00:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-10 00:04:51.089024+00:00
4,1839,BNB,BNB,bnb,1057,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-10T00:02:00.000Z,324.6708619506414,1138355971.145234,-13.6784,-0.44320044,-0.05319986,14.31320136,38.47519613,13.38711998,19.78802089,52381507622.84598,4.7836,64934172390.13,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
5,52,XRP,XRP,xrp,787,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,6,,,,2022-08-10T00:02:00.000Z,0.3678286955012229,4097290644.782128,297.8766,-0.05640171,-2.93594347,-1.17291137,12.96283085,-3.662719,-11.46166124,17781979849.776115,1.6239,36782869550.12,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
6,4687,Binance USD,BUSD,binance-usd,4532,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17751302894.999256,17751302894.999256,,7,,,,2022-08-10T00:02:00.000Z,1.0000775861771023,5472207585.708387,-1.0441,-0.0310466,-0.024296,0.01729624,-0.14557592,0.09748361,-0.43857757,17752680150.729465,1.6212,17752680150.73,,2022-08-10T00:02:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-10 00:04:51.089024+00:00
7,2010,Cardano,ADA,cardano,540,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,8,,,,2022-08-10T00:02:00.000Z,0.5135934428841215,634700870.0619905,-18.5695,-0.19194791,-4.37389072,3.36185386,10.93256691,-10.57502831,-0.6249423,17328143814.97216,1.5824,23111704929.79,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
8,5426,Solana,SOL,solana,356,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,348406658.84840703,511616946.142289,,9,,,,2022-08-10T00:02:00.000Z,40.33759448088997,892095443.5545635,-19.9623,-0.0540077,-4.35796736,1.25222209,9.99441698,8.7285008,-20.33091914,14053886519.068817,1.2831,20637396903.04,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
9,6636,Polkadot,DOT,polkadot-new,379,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1105489671.4497778,1220713341.774958,,10,904869778.0,8050658599.502402,,2022-08-10T00:02:00.000Z,8.897035568252123,670175278.3839959,-6.4186,-0.08309708,-4.05456061,12.03865577,29.87019579,2.82468365,-1.79171965,9835580927.224028,0.898,10860730020.41,,2022-08-10T00:02:00.000Z,,,,,,2022-08-10 00:04:51.089024+00:00
